FID,GID,the_geom,NOME,endereco,linha,DESCRICAO,TEM,TLM,FONTE,ANO_REF
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d0e,1,POINT (-38.56376196099379 -3.776087227455311),Parangaba,R. Dom Pedro II,VLT,<br><div><strong>Endereço: </strong>R. Dom Pedro II<br><div><strong>Tipo: </strong>Elevada<br><div><strong>Linha: </strong>VLT,Estações de Metrô,VLT,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d0d,2,POINT (-38.52854729040139 -3.7599076981942616),Borges de Melo,R. Eng. Edmundo Almeida Filho,VLT,<br><div><strong>Endereço: </strong>R. Eng. Edmundo Almeida Filho<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>VLT,Estações de Metrô,VLT,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d0c,3,POINT (-38.53284909924231 -3.768680998950521),Vila União,"R. Martins Sáles, 664-746",VLT,"<br><div><strong>Endereço: </strong>R. Martins Sáles, 664-746<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>VLT",Estações de Metrô,VLT,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d0b,4,POINT (-38.551715932723354 -3.772828464660904),Montese,R. Livino de Carvalho,VLT,<br><div><strong>Endereço: </strong>R. Livino de Carvalho<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>VLT,Estações de Metrô,VLT,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d0a,5,POINT (-38.534631985755674 -3.7318715029686516),Sao Benedito,"Av. Tristão Gonçalves, 1174",Metro Sul,"<br><div><strong>Endereço: </strong>Av. Tristão Gonçalves, 1174<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d09,6,POINT (-38.5327763217381 -3.725724079088857),Jose de Alencar,"Av. Tristão Gonçalves, 511",Metro Sul,"<br><div><strong>Endereço: </strong>Av. Tristão Gonçalves, 511<br><div><strong>Tipo: </strong>Subterranea<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d08,7,POINT (-38.53956871150541 -3.739435620041595),Benfica,"Av. Carapinima, 2087",Metro Sul,"<br><div><strong>Endereço: </strong>Av. Carapinima, 2087<br><div><strong>Tipo: </strong>Subterranea<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d07,8,POINT (-38.54571762332914 -3.745535973315784),Porangabussu,"R. Professor Costa Mendes, 1455",Metro Sul,"<br><div><strong>Endereço: </strong>R. Professor Costa Mendes, 1455<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d06,9,POINT (-38.55167420998502 -3.7514576752070377),Porangabussu,"R. Professor Costa Mendes, 1455",Metro Sul,"<br><div><strong>Endereço: </strong>R. Professor Costa Mendes, 1455<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d05,10,POINT (-38.55751323131137 -3.757316855391815),Couto Fernandes,"Av. José Bastos, 4655",Metro Sul,"<br><div><strong>Endereço: </strong>Av. José Bastos, 4655<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d04,11,POINT (-38.57238780326095 -3.7841152408817007),Vila Pery,"R. Cônego de Castro , 1399",Metro Sul,"<br><div><strong>Endereço: </strong>R. Cônego de Castro , 1399<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d03,12,POINT (-38.574923987932685 -3.798607252001783),Manoel Satiro,"R. Manoel Satiro, 599",Metro Sul,"<br><div><strong>Endereço: </strong>R. Manoel Satiro, 599<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d02,13,POINT (-38.57758920019675 -3.80770527811253),Modumbim,"R. Manoel Sátiro, 1155",Metro Sul,"<br><div><strong>Endereço: </strong>R. Manoel Sátiro, 1155<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d01,14,POINT (-38.58563647343173 -3.817237150269676),Esperanca,"Avenida Penetração Leste, 104",Metro Sul,"<br><div><strong>Endereço: </strong>Avenida Penetração Leste, 104<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5d00,15,POINT (-38.591982701108165 -3.826786955286773),Aracape,"R. Manoel Satiro, 2698",Metro Sul,"<br><div><strong>Endereço: </strong>R. Manoel Satiro, 2698<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cff,16,POINT (-38.56394507438028 -3.775861564972845),Parangaba,"Av. Carlos Amora, 190",Metro Sul,"<br><div><strong>Endereço: </strong>Av. Carlos Amora, 190<br><div><strong>Tipo: </strong>Elevada<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cfe,17,POINT (-38.49949880968034 -3.751857205048838),Pontes Vieira,Av. Almirante Henrique Saboia (Via Expressa) com R. Vicente Leite,VLT,<br><div><strong>Endereço: </strong>Av. Almirante Henrique Saboia (Via Expressa) com R. Vicente Leite<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>VLT,Estações de Metrô,VLT,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cfd,18,POINT (-38.511733358725756 -3.7607488900997055),Sao Joao do Tauape,R. Capitão Melo com Via Férrea,VLT,<br><div><strong>Endereço: </strong>R. Capitão Melo com Via Férrea<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>VLT,Estações de Metrô,VLT,METROFOR / IPLANFOR,2018
